Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT) ,Height (FT),Lighting,Color of Lighting,Group,
LTCC_129,BUILDING,BUILDING,375454.213N,0400808.445E,2572.38,123.03,NO INFO,,NO,
LTCC_130,BUILDING,BUILDING,375452.791N,0400853.912E,2401.21,24.61,NO INFO,,NO,
LTCC_131,BUILDING,BUILDING,375453.621N,0400825.069E,2511.48,83.66,NO INFO,,NO,
LTCC_132,BUILDING,BUILDING,375452.426N,0400909.405E,2455.71,93.50,NO INFO,,NO,
LTCC_133,BUILDING,BUILDING,375450.165N,0401008.946E,2412.93,83.66,NO INFO,,NO,
LTCC_134,BUILDING,BUILDING,375453.151N,0400849.479E,2409.88,24.61,NO INFO,,NO,
LTCC_135,BUILDING,BUILDING,375454.372N,0400814.559E,2562.96,123.03,NO INFO,,NO,
LTCC_136,BUILDING,BUILDING,375450.506N,0401007.617E,2414.63,83.66,NO INFO,,NO,
LTCC_137,BUILDING,BUILDING,375454.600N,0400810.616E,2569.32,123.03,NO INFO,,NO,
LTCC_138,BUILDING,BUILDING,375453.505N,0400848.213E,2412.27,24.61,NO INFO,,NO,
LTCC_139,BUILDING,BUILDING,375453.355N,0400852.532E,2404.30,24.61,NO INFO,,NO,
LTCC_140,BUILDING,BUILDING,375450.875N,0401006.235E,2416.27,83.66,NO INFO,,NO,
LTCC_141,BUILDING,BUILDING,375453.146N,0400907.485E,2455.71,93.50,NO INFO,,NO,
LTCC_142,BUILDING,BUILDING,375453.679N,0400850.640E,2407.32,24.61,NO INFO,,NO,
LTCC_143,BUILDING,BUILDING,375454.103N,0400849.350E,2409.15,24.61,NO INFO,,NO,
LTCC_144,BUILDING,BUILDING,375455.264N,0400808.997E,2571.98,123.03,NO INFO,,NO,
LTCC_145,BUILDING,BUILDING,375454.761N,0400825.953E,2509.71,83.66,NO INFO,,NO,
LTCC_146,BUILDING,BUILDING,375454.189N,0400848.886E,2410.07,24.61,NO INFO,,NO,
LTCC_147,BUILDING,BUILDING,375454.164N,0400852.814E,2403.22,24.61,NO INFO,,NO,
LTCC_148,BUILDING,BUILDING,375455.603N,0400815.405E,2561.94,123.03,NO INFO,,NO,
LTCC_149,BUILDING,BUILDING,375454.016N,0400910.190E,2455.71,93.50,NO INFO,,NO,
LTCC_150,BUILDING,BUILDING,375454.592N,0400850.942E,2405.84,24.61,NO INFO,,NO,
LTCC_151,BUILDING,BUILDING,375451.929N,0401006.484E,2417.32,83.66,NO INFO,,NO,
LTCC_152,BUILDING,BUILDING,375454.063N,0400905.450E,2455.71,93.50,NO INFO,,NO,
LTCC_153,BUILDING,BUILDING,375456.171N,0400811.376E,2568.70,123.03,NO INFO,,NO,
LTCC_154,BUILDING,BUILDING,375456.314N,0400809.533E,2571.59,123.03,NO INFO,,NO,
LTCC_155,BUILDING,BUILDING,375452.103N,0401011.216E,2413.78,83.66,NO INFO,,NO,
LTCC_156,BUILDING,BUILDING,375452.333N,0401001.767E,2421.56,83.66,NO INFO,,NO,
LTCC_157,BUILDING,BUILDING,375456.039N,0400826.501E,2507.94,83.66,NO INFO,,NO,
LTCC_158,BUILDING,BUILDING,375456.185N,0400824.729E,2511.48,83.66,NO INFO,,NO,
LTCC_159,BUILDING,BUILDING,375455.484N,0400851.191E,2403.77,24.61,NO INFO,,NO,
LTCC_160,BUILDING,BUILDING,375452.877N,0401007.011E,2418.11,83.66,NO INFO,,NO,
LTCC_161,BUILDING,BUILDING,375453.017N,0400959.352E,2423.92,83.66,NO INFO,,NO,
LTCC_162,BUILDING,BUILDING,375452.285N,0401022.490E,2406.99,83.66,NO INFO,,NO,
LTCC_163,BUILDING,BUILDING,375456.845N,0400816.222E,2561.71,123.03,NO INFO,,NO,
LTCC_164,BUILDING,BUILDING,375457.153N,0400814.335E,2565.22,123.03,NO INFO,,NO,
LTCC_165,BUILDING,BUILDING,375453.446N,0400957.472E,2425.69,83.66,NO INFO,,NO,
LTCC_166,BUILDING,BUILDING,375457.394N,0400810.062E,2572.05,123.03,NO INFO,,NO,
LTCC_167,BUILDING,BUILDING,375455.328N,0400906.042E,2455.71,93.50,NO INFO,,NO,
LTCC_168,BUILDING,BUILDING,375457.471N,0400812.357E,2568.41,123.03,NO INFO,,NO,
LTCC_169,BUILDING,BUILDING,375455.670N,0400911.057E,2455.71,93.50,NO INFO,,NO,
LTCC_170,BUILDING,BUILDING,375453.932N,0400955.646E,2427.59,83.66,NO INFO,,NO,
LTCC_171,BUILDING,BUILDING,375458.212N,0400809.202E,2574.15,123.03,NO INFO,,NO,
LTCC_172,BUILDING,BUILDING,375456.274N,0400909.099E,2455.71,93.50,NO INFO,,NO,
LTCC_173,BUILDING,BUILDING,375454.460N,0400953.840E,2429.46,83.66,NO INFO,,NO,
LTCC_174,BUILDING,BUILDING,375453.545N,0401022.684E,2409.65,83.66,NO INFO,,NO,
LTCC_175,BUILDING,BUILDING,375458.518N,0400807.681E,2576.71,123.03,NO INFO,,NO,
LTCC_176,BUILDING,BUILDING,375456.578N,0400906.642E,2455.71,93.50,NO INFO,,NO,
LTCC_177,BUILDING,BUILDING,375453.677N,0401034.703E,2402.23,83.66,NO INFO,,NO,
LTCC_178,BUILDING,BUILDING,375457.191N,0400911.459E,2455.71,93.50,NO INFO,,NO,
LTCC_179,BUILDING,BUILDING,375459.496N,0400810.041E,2573.88,123.03,NO INFO,,NO,
LTCC_180,BUILDING,BUILDING,375454.771N,0401022.855E,2412.93,83.66,NO INFO,,NO,
LTCC_181,BUILDING,BUILDING,375455.750N,0400957.748E,2428.15,83.66,NO INFO,,NO,
LTCC_182,BUILDING,BUILDING,375459.987N,0400808.017E,2577.66,123.03,NO INFO,,NO,
LTCC_183,BUILDING,BUILDING,375456.459N,0400954.601E,2431.43,83.66,NO INFO,,NO,
LTCC_184,BUILDING,BUILDING,375453.286N,0401125.394E,2309.78,24.61,NO INFO,,NO,
LTCC_185,BUILDING,BUILDING,375458.527N,0400912.436E,2455.71,93.50,NO INFO,,NO,
LTCC_186,BUILDING,BUILDING,375455.989N,0401023.006E,2413.06,83.66,NO INFO,,NO,
LTCC_187,BUILDING,BUILDING,375501.117N,0400809.006E,2576.21,123.03,NO INFO,,NO,
LTCC_188,BUILDING,BUILDING,375501.215N,0400807.116E,2580.12,123.03,NO INFO,,NO,
LTCC_189,BUILDING,BUILDING,375454.450N,0401127.182E,2299.90,14.76,NO INFO,,NO,
LTCC_190,BUILDING,BUILDING,375456.091N,0401041.688E,2402.43,83.66,NO INFO,,NO,
LTCC_191,BUILDING,BUILDING,375454.677N,0401127.604E,2299.67,14.76,NO INFO,,NO,
LTCC_192,BUILDING,BUILDING,375457.813N,0400956.811E,2431.69,83.66,NO INFO,,NO,
LTCC_193,BUILDING,BUILDING,375454.764N,0401127.525E,2299.90,14.76,NO INFO,,NO,
LTCC_194,BUILDING,BUILDING,375459.724N,0400912.998E,2455.71,93.50,NO INFO,,NO,
LTCC_195,BUILDING,BUILDING,375457.115N,0401041.332E,2404.53,83.66,NO INFO,,NO,
LTCC_196,BUILDING,BUILDING,375457.261N,0401044.869E,2401.18,83.66,NO INFO,,NO,
LTCC_197,BUILDING,BUILDING,375500.941N,0400913.572E,2455.71,93.50,NO INFO,,NO,
LTCC_198,BUILDING,BUILDING,375457.868N,0401043.792E,2403.15,83.66,NO INFO,,NO,
LTCC_199,BUILDING,BUILDING,375457.956N,0401042.273E,2405.02,83.66,NO INFO,,NO,
LTCC_200,BUILDING,BUILDING,375459.435N,0401011.198E,2427.13,83.66,NO INFO,,NO,
LTCC_201,BUILDING,BUILDING,375500.158N,0401014.590E,2424.08,83.66,NO INFO,,NO,
LTCC_202,BUILDING,BUILDING,375502.258N,0400914.095E,2455.71,93.50,NO INFO,,NO,
LTCC_203,BUILDING,BUILDING,375459.405N,0401044.065E,2405.51,83.66,NO INFO,,NO,
LTCC_204,BUILDING,BUILDING,375502.659N,0400912.765E,2455.71,93.50,NO INFO,,NO,
LTCC_205,BUILDING,BUILDING,375500.621N,0401010.505E,2430.12,83.66,NO INFO,,NO,
LTCC_206,BUILDING,BUILDING,375459.586N,0401040.871E,2409.42,83.66,NO INFO,,NO,
LTCC_207,BUILDING,BUILDING,375502.488N,0400924.102E,2466.73,93.50,NO INFO,,NO,
LTCC_208,BUILDING,BUILDING,375502.999N,0400922.335E,2465.39,93.50,NO INFO,,NO,
LTCC_209,BUILDING,BUILDING,375501.159N,0401019.266E,2422.18,83.66,NO INFO,,NO,
LTCC_210,BUILDING,BUILDING,375504.799N,0400837.189E,2518.04,123.03,NO INFO,,NO,
LTCC_211,BUILDING,BUILDING,375503.486N,0400920.529E,2464.11,93.50,NO INFO,,NO,
LTCC_212,BUILDING,BUILDING,375505.021N,0400835.172E,2523.10,123.03,NO INFO,,NO,
LTCC_213,BUILDING,BUILDING,375501.640N,0401014.269E,2428.48,83.66,NO INFO,,NO,
LTCC_214,BUILDING,BUILDING,375500.674N,0401044.181E,2407.22,83.66,NO INFO,,NO,
LTCC_215,BUILDING,BUILDING,375501.982N,0401010.335E,2433.04,83.66,NO INFO,,NO,
LTCC_216,BUILDING,BUILDING,375505.264N,0400838.527E,2518.04,123.03,NO INFO,,NO,
LTCC_217,BUILDING,BUILDING,375503.982N,0400918.755E,2463.55,93.50,NO INFO,,NO,
LTCC_218,BUILDING,BUILDING,375459.944N,0401120.025E,2311.35,14.76,NO INFO,,NO,
LTCC_219,BUILDING,BUILDING,375459.965N,0401118.748E,2311.35,14.76,NO INFO,,NO,
LTCC_220,BUILDING,BUILDING,375459.889N,0401121.226E,2311.35,14.76,NO INFO,,NO,
LTCC_221,BUILDING,BUILDING,375500.000N,0401119.268E,2311.35,14.76,NO INFO,,NO,
LTCC_222,BUILDING,BUILDING,375500.001N,0401117.926E,2311.35,14.76,NO INFO,,NO,
LTCC_223,BUILDING,BUILDING,375459.969N,0401119.721E,2311.35,14.76,NO INFO,,NO,
LTCC_224,BUILDING,BUILDING,375500.023N,0401121.007E,2311.35,14.76,NO INFO,,NO,
LTCC_225,BUILDING,BUILDING,375503.826N,0400924.810E,2469.55,93.50,NO INFO,,NO,
LTCC_226,BUILDING,BUILDING,375459.960N,0401120.449E,2311.35,14.76,NO INFO,,NO,
LTCC_227,BUILDING,BUILDING,375501.257N,0401041.041E,2411.98,83.66,NO INFO,,NO,
LTCC_228,BUILDING,BUILDING,375500.164N,0401121.984E,2311.35,14.76,NO INFO,,NO,
LTCC_229,BUILDING,BUILDING,375500.041N,0401122.515E,2321.19,24.61,NO INFO,,NO,
LTCC_230,BUILDING,BUILDING,375502.471N,0401011.892E,2432.45,83.66,NO INFO,,NO,
LTCC_231,BUILDING,BUILDING,375505.902N,0400840.764E,2518.04,123.03,NO INFO,,NO,
LTCC_232,BUILDING,BUILDING,375503.016N,0401013.795E,2431.43,83.66,NO INFO,,NO,
LTCC_233,BUILDING,BUILDING,375506.598N,0400834.567E,2525.23,123.03,NO INFO,,NO,
LTCC_234,BUILDING,BUILDING,375502.716N,0401022.411E,2419.62,73.82,NO INFO,,NO,
LTCC_235,BUILDING,BUILDING,375500.206N,0401141.669E,2312.57,34.45,NO INFO,,NO,
LTCC_236,BUILDING,BUILDING,375504.226N,0400947.040E,2449.11,83.66,NO INFO,,NO,
LTCC_237,BUILDING,BUILDING,375503.987N,0400948.608E,2467.42,103.35,NO INFO,,NO,
LTCC_238,BUILDING,BUILDING,375502.009N,0401049.764E,2403.58,83.66,NO INFO,,NO,
LTCC_239,BUILDING,BUILDING,375505.357N,0400919.156E,2466.14,93.50,NO INFO,,NO,
LTCC_240,BUILDING,BUILDING,375504.505N,0400945.999E,2450.10,83.66,NO INFO,,NO,
LTCC_241,BUILDING,BUILDING,375505.206N,0400925.436E,2472.11,93.50,NO INFO,,NO,
LTCC_242,BUILDING,BUILDING,375502.533N,0401048.507E,2405.54,83.66,NO INFO,,NO,
LTCC_243,BUILDING,BUILDING,375505.300N,0400937.007E,2477.36,103.35,NO INFO,,NO,
LTCC_244,BUILDING,BUILDING,375506.783N,0400843.066E,2511.88,123.03,NO INFO,,NO,
LTCC_245,BUILDING,BUILDING,375505.750N,0400934.770E,2479.63,103.35,NO INFO,,NO,
LTCC_246,BUILDING,BUILDING,375507.761N,0400835.797E,2520.24,123.03,NO INFO,,NO,
LTCC_247,BUILDING,BUILDING,375509.760N,0400735.915E,2711.19,162.40,NO INFO,,NO,
LTCC_248,BUILDING,BUILDING,375503.054N,0401047.237E,2407.68,83.66,NO INFO,,NO,
LTCC_249,BUILDING,BUILDING,375510.037N,0400740.136E,2698.52,162.40,NO INFO,,NO,
LTCC_250,BUILDING,BUILDING,375505.556N,0400950.053E,2448.46,83.66,NO INFO,,NO,
LTCC_251,BUILDING,BUILDING,375506.498N,0400925.957E,2472.11,93.50,NO INFO,,NO,
LTCC_252,BUILDING,BUILDING,375503.384N,0401050.772E,2405.45,83.66,NO INFO,,NO,
LTCC_253,BUILDING,BUILDING,375503.674N,0401045.665E,2410.47,83.66,NO INFO,,NO,
LTCC_254,BUILDING,BUILDING,375506.793N,0400919.744E,2471.00,93.50,NO INFO,,NO,
