Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTAN187,BUILDING,BUILDING,380101.274N,0323103.593E,3689.3,14.8,NO INFO,,NO
LTAN188,BUILDING,BUILDING,380100.691N,0323103.093E,3699.1,24.6,NO INFO,,NO
LTAN189,BUILDING,BUILDING,380110.817N,0323108.333E,3705.0,54.1,NO INFO,,NO
LTAN190,BUILDING,BUILDING,380111.775N,0323108.519E,3714.0,54.1,NO INFO,,NO
LTAN191,BUILDING,BUILDING,380112.487N,0323109.069E,3719.1,54.1,NO INFO,,NO
LTAN192,BUILDING,BUILDING,380113.259N,0323109.616E,3723.6,54.1,NO INFO,,NO
LTAN193,BUILDING,BUILDING,380112.438N,0323111.383E,3719.8,54.1,NO INFO,,NO
LTAN194,BUILDING,BUILDING,380111.543N,0323110.510E,3715.7,54.1,NO INFO,,NO
LTAN195,BUILDING,BUILDING,380110.347N,0323110.056E,3706.6,54.1,NO INFO,,NO
LTAN196,BUILDING,BUILDING,380111.267N,0323114.031E,3695.8,34.4,NO INFO,,NO
LTAN197,BUILDING,BUILDING,380110.629N,0323113.509E,3693.3,34.4,NO INFO,,NO
LTAN198,BUILDING,BUILDING,380109.925N,0323113.014E,3692.5,34.4,NO INFO,,NO
LTAN199,BUILDING,BUILDING,380109.314N,0323112.630E,3692.5,34.4,NO INFO,,NO
LTAN200,BUILDING,BUILDING,380108.589N,0323112.050E,3690.4,34.4,NO INFO,,NO
LTAN201,BUILDING,BUILDING,380108.031N,0323113.385E,3692.5,34.4,NO INFO,,NO
LTAN202,BUILDING,BUILDING,380108.661N,0323113.522E,3692.5,34.4,NO INFO,,NO
LTAN203,BUILDING,BUILDING,380109.404N,0323114.109E,3692.5,34.4,NO INFO,,NO
LTAN204,BUILDING,BUILDING,380110.261N,0323114.637E,3692.5,34.4,NO INFO,,NO
LTAN205,BUILDING,BUILDING,380110.811N,0323115.277E,3693.9,34.4,NO INFO,,NO
LTAN206,BUILDING,BUILDING,380104.721N,0323109.593E,3679.6,34.4,NO INFO,,NO
LTAN207,BUILDING,BUILDING,380104.346N,0323109.399E,3681.3,34.4,NO INFO,,NO
LTAN208,BUILDING,BUILDING,380104.019N,0323109.174E,3683.0,34.4,NO INFO,,NO
LTAN209,BUILDING,BUILDING,380103.673N,0323108.941E,3684.7,34.4,NO INFO,,NO
LTAN210,BUILDING,BUILDING,380103.062N,0323108.557E,3688.0,34.4,NO INFO,,NO
LTAN211,BUILDING,BUILDING,380102.700N,0323108.394E,3689.7,34.4,NO INFO,,NO
LTAN212,BUILDING,BUILDING,380102.356N,0323108.238E,3690.7,34.4,NO INFO,,NO
LTAN213,BUILDING,BUILDING,380101.964N,0323108.114E,3692.9,34.4,NO INFO,,NO
LTAN214,BUILDING,BUILDING,380100.556N,0323108.467E,3694.7,34.4,NO INFO,,NO
LTAN215,BUILDING,BUILDING,380100.915N,0323108.730E,3694.1,34.4,NO INFO,,NO
LTAN216,BUILDING,BUILDING,380101.200N,0323108.965E,3692.5,34.4,NO INFO,,NO
LTAN217,BUILDING,BUILDING,380101.498N,0323109.230E,3690.8,34.4,NO INFO,,NO
LTAN218,BUILDING,BUILDING,380102.311N,0323109.691E,3686.2,34.4,NO INFO,,NO
LTAN219,BUILDING,BUILDING,380102.714N,0323110.022E,3684.6,34.4,NO INFO,,NO
LTAN220,BUILDING,BUILDING,380103.091N,0323110.292E,3682.2,34.4,NO INFO,,NO
LTAN221,BUILDING,BUILDING,380103.343N,0323110.413E,3681.2,34.4,NO INFO,,NO
LTAN222,BUILDING,BUILDING,380059.866N,0323110.106E,3689.0,34.4,NO INFO,,NO
LTAN223,BUILDING,BUILDING,380100.631N,0323110.600E,3688.4,34.4,NO INFO,,NO
LTAN224,BUILDING,BUILDING,380101.095N,0323110.928E,3686.6,34.4,NO INFO,,NO
LTAN225,BUILDING,BUILDING,380101.630N,0323111.714E,3682.4,34.4,NO INFO,,NO
LTAN226,BUILDING,BUILDING,380101.319N,0323112.433E,3681.5,34.4,NO INFO,,NO
LTAN227,BUILDING,BUILDING,380058.782N,0323110.785E,3686.5,34.4,NO INFO,,NO
LTAN228,BUILDING,BUILDING,380059.143N,0323109.857E,3689.8,34.4,NO INFO,,NO
LTAN229,BUILDING,BUILDING,380057.869N,0323109.706E,3708.7,54.1,NO INFO,,NO
LTAN230,BUILDING,BUILDING,380057.319N,0323109.748E,3708.4,54.1,NO INFO,,NO
LTAN231,BUILDING,BUILDING,380057.570N,0323109.297E,3709.7,54.1,NO INFO,,NO
LTAN232,BUILDING,BUILDING,380058.099N,0323109.042E,3711.4,54.1,NO INFO,,NO
LTAN233,BUILDING,BUILDING,380058.509N,0323108.605E,3712.9,54.1,NO INFO,,NO
LTAN234,BUILDING,BUILDING,380058.146N,0323108.467E,3712.7,54.1,NO INFO,,NO
LTAN235,BUILDING,BUILDING,380058.890N,0323108.067E,3714.4,54.1,NO INFO,,NO
LTAN236,BUILDING,BUILDING,380059.288N,0323107.603E,3716.6,54.1,NO INFO,,NO
LTAN237,BUILDING,BUILDING,380058.886N,0323107.473E,3716.2,54.1,NO INFO,,NO
LTAN238,BUILDING,BUILDING,380059.867N,0323107.139E,3718.7,54.1,NO INFO,,NO
LTAN239,BUILDING,BUILDING,380100.394N,0323107.043E,3718.8,54.1,NO INFO,,NO
LTAN240,BUILDING,BUILDING,380100.117N,0323106.619E,3720.1,54.1,NO INFO,,NO
LTAN241,BUILDING,BUILDING,380059.665N,0323106.243E,3721.1,54.1,NO INFO,,NO
LTAN242,BUILDING,BUILDING,380059.170N,0323106.282E,3720.4,54.1,NO INFO,,NO
LTAN243,BUILDING,BUILDING,380059.399N,0323106.757E,3719.5,54.1,NO INFO,,NO
LTAN244,BUILDING,BUILDING,380058.563N,0323106.940E,3717.9,54.1,NO INFO,,NO
LTAN245,BUILDING,BUILDING,380058.517N,0323106.376E,3719.8,54.1,NO INFO,,NO
LTAN246,BUILDING,BUILDING,380058.108N,0323106.426E,3719.0,54.1,NO INFO,,NO
LTAN247,BUILDING,BUILDING,380058.075N,0323107.324E,3716.3,54.1,NO INFO,,NO
LTAN248,BUILDING,BUILDING,380057.625N,0323107.472E,3715.5,54.1,NO INFO,,NO
LTAN249,BUILDING,BUILDING,380057.597N,0323106.983E,3717.4,54.1,NO INFO,,NO
