Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_140,BUILDING,BUILDING,375229.197N,0301903.547E,3072.47,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_141,BUILDING,BUILDING,375229.273N,0301902.517E,3073.26,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_142,BUILDING,BUILDING,375229.620N,0301904.857E,3080.95,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_143,BUILDING,BUILDING,375229.986N,0301905.178E,3080.46,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_144,BUILDING,BUILDING,375229.484N,0301904.475E,3081.35,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_145,BUILDING,BUILDING,375230.236N,0301904.153E,3071.33,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_146,BUILDING,BUILDING,375229.904N,0301904.143E,3071.54,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_147,BUILDING,BUILDING,375229.832N,0301903.344E,3082.10,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_148,BUILDING,BUILDING,375230.240N,0301903.440E,3081.75,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_149,BUILDING,BUILDING,375230.639N,0301905.317E,3070.13,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_150,BUILDING,BUILDING,375229.969N,0301906.017E,3080.07,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_151,BUILDING,BUILDING,375230.035N,0301906.406E,3079.85,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_152,BUILDING,BUILDING,375230.126N,0301906.798E,3079.51,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_153,BUILDING,BUILDING,375230.251N,0301907.291E,3079.02,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
