Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_687,BUILDING,BUILDING,375225.912N,0301857.732E,3088.04,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_688,BUILDING,BUILDING,375225.959N,0301858.033E,3087.90,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_689,BUILDING,BUILDING,375225.545N,0301858.155E,3078.47,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_690,BUILDING,BUILDING,375225.909N,0301858.991E,3077.87,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_691,BUILDING,BUILDING,375218.952N,0301849.425E,3115.96,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_692,BUILDING,BUILDING,375221.136N,0301850.270E,3103.41,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_693,BUILDING,BUILDING,375221.072N,0301850.887E,3084.96,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_694,BUILDING,BUILDING,375220.987N,0301851.516E,3096.18,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_695,BUILDING,BUILDING,375220.986N,0301851.785E,3086.16,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_696,BUILDING,BUILDING,375220.768N,0301851.236E,3087.15,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_697,BUILDING,BUILDING,375220.901N,0301850.794E,3085.85,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_698,BUILDING,BUILDING,375220.394N,0301850.178E,3087.75,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_699,BUILDING,BUILDING,375316.269N,0302437.006E,2991.16,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_700,BUILDING,BUILDING,375316.919N,0302437.189E,2993.98,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_701,BUILDING,BUILDING,375317.557N,0302437.392E,2996.73,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_702,BUILDING,BUILDING,375317.923N,0302431.665E,3027.76,45.93,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_703,BUILDING,BUILDING,375318.200N,0302430.828E,3033.55,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_704,BUILDING,BUILDING,375318.704N,0302432.004E,3032.68,49.21,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_705,BUILDING,BUILDING,375313.612N,0302452.030E,3025.00,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_706,BUILDING,BUILDING,375310.202N,0302451.255E,2994.04,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_707,BUILDING,BUILDING,375309.069N,0302501.085E,2993.22,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_708,BUILDING,BUILDING,375309.272N,0302459.758E,2992.70,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_709,BUILDING,BUILDING,375307.721N,0302510.244E,3028.48,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_710,BUILDING,BUILDING,375304.334N,0302511.682E,3019.98,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_711,BUILDING,BUILDING,375312.196N,0302442.718E,2989.49,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_712,BUILDING,BUILDING,375312.067N,0302443.459E,2991.62,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_713,BUILDING,BUILDING,375311.932N,0302444.164E,2993.38,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_714,BUILDING,BUILDING,375311.963N,0302444.645E,2985.38,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_715,BUILDING,BUILDING,375311.259N,0302445.107E,2983.82,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_716,BUILDING,BUILDING,375311.831N,0302445.803E,2997.77,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_717,BUILDING,BUILDING,375311.723N,0302446.527E,2999.55,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_718,BUILDING,BUILDING,375310.987N,0302446.846E,2987.11,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_719,BUILDING,BUILDING,375308.681N,0302450.805E,2995.78,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_720,BUILDING,BUILDING,375308.503N,0302449.465E,2981.88,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_721,BUILDING,BUILDING,375307.300N,0302454.601E,2992.98,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_722,BUILDING,BUILDING,375307.936N,0302454.868E,2995.66,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_723,BUILDING,BUILDING,375308.371N,0302454.718E,2988.00,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_724,BUILDING,BUILDING,375304.342N,0302504.633E,2986.78,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_725,BUILDING,BUILDING,375304.042N,0302504.688E,2986.08,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_726,BUILDING,BUILDING,375302.099N,0302505.206E,2979.87,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_727,BUILDING,BUILDING,375306.497N,0302502.076E,2996.09,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_728,BUILDING,BUILDING,375305.816N,0302501.889E,2993.57,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_729,BUILDING,BUILDING,375305.170N,0302501.742E,2991.87,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_730,BUILDING,BUILDING,375306.407N,0302503.731E,3000.52,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_731,BUILDING,BUILDING,375305.734N,0302503.535E,2988.15,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_732,BUILDING,BUILDING,375304.983N,0302503.210E,2985.42,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_733,BUILDING,BUILDING,375255.738N,0302512.057E,2995.87,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_734,BUILDING,BUILDING,375255.614N,0302512.855E,2998.79,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_735,BUILDING,BUILDING,375255.489N,0302513.686E,3001.36,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_736,BUILDING,BUILDING,375254.948N,0302514.202E,3001.08,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_737,BUILDING,BUILDING,375317.829N,0302529.003E,3083.70,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_738,BUILDING,BUILDING,375318.399N,0302530.352E,3078.83,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_739,BUILDING,BUILDING,375318.194N,0302530.168E,3078.81,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_740,BUILDING,BUILDING,375333.528N,0302347.111E,3030.40,44.29,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_741,BUILDING,BUILDING,375331.200N,0302344.034E,3003.35,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_742,BUILDING,BUILDING,375331.197N,0302344.391E,2993.72,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_743,BUILDING,BUILDING,375329.642N,0302343.637E,2987.40,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_744,BUILDING,BUILDING,375329.626N,0302343.974E,2987.57,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_745,BUILDING,BUILDING,375331.148N,0302347.446E,3015.28,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_746,BUILDING,BUILDING,375331.060N,0302348.037E,3024.86,44.29,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_747,BUILDING,BUILDING,375328.142N,0302348.693E,3005.11,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_748,BUILDING,BUILDING,375328.806N,0302349.236E,3008.20,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_749,BUILDING,BUILDING,375328.906N,0302350.879E,3011.82,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_750,BUILDING,BUILDING,375329.429N,0302351.319E,3013.68,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_751,BUILDING,BUILDING,375330.963N,0302349.211E,3015.91,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_752,BUILDING,BUILDING,375330.194N,0302350.718E,3014.53,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_753,BUILDING,BUILDING,375325.235N,0302353.581E,2994.46,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_754,BUILDING,BUILDING,375326.938N,0302356.543E,3002.18,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_755,BUILDING,BUILDING,375326.183N,0302356.241E,3009.24,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_756,BUILDING,BUILDING,375325.856N,0302356.095E,3007.90,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_757,BUILDING,BUILDING,375326.929N,0302357.906E,2992.37,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_758,BUILDING,BUILDING,375325.962N,0302357.522E,2988.76,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_759,BUILDING,BUILDING,375333.246N,0302358.888E,3041.77,44.29,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_760,BUILDING,BUILDING,375335.906N,0302353.364E,3046.82,44.29,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_761,BUILDING,BUILDING,375336.868N,0302352.704E,3036.19,29.53,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_762,BUILDING,BUILDING,375333.631N,0302403.514E,3048.06,44.29,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_763,BUILDING,BUILDING,375333.237N,0302404.469E,3047.39,44.29,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_764,BUILDING,BUILDING,375332.897N,0302405.369E,3047.60,44.29,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_765,BUILDING,BUILDING,375332.516N,0302406.319E,3047.06,44.29,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_766,BUILDING,BUILDING,375329.031N,0302409.739E,3026.61,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_767,BUILDING,BUILDING,375328.747N,0302409.340E,3034.69,44.29,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_768,BUILDING,BUILDING,375323.439N,0302407.433E,3001.46,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_769,BUILDING,BUILDING,375325.654N,0302404.502E,2994.03,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_770,BUILDING,BUILDING,375321.359N,0302409.760E,2997.39,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_771,SILO,BUILDING,375323.499N,0302411.475E,3016.54,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_772,BUILDING,BUILDING,375321.072N,0302412.285E,2989.87,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_773,SILO,BUILDING,375323.139N,0302412.211E,3026.34,44.29,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_774,BUILDING,BUILDING,375315.789N,0302432.667E,2986.95,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_775,BUILDING,BUILDING,375315.134N,0302418.211E,2988.73,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_776,BUILDING,BUILDING,375314.343N,0302415.018E,2989.28,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_777,BUILDING,BUILDING,375317.538N,0302418.191E,2999.01,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_778,BUILDING,BUILDING,375317.006N,0302417.759E,2995.90,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_779,BUILDING,BUILDING,375316.851N,0302414.925E,2979.61,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_780,BUILDING,BUILDING,375318.352N,0302417.600E,2990.64,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_781,BUILDING,BUILDING,375316.361N,0302419.798E,3006.78,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_782,BUILDING,BUILDING,375318.536N,0302416.009E,3027.33,54.13,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_783,BUILDING,BUILDING,375317.804N,0302418.741E,2991.41,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_784,BUILDING,BUILDING,375317.606N,0302419.142E,2991.41,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_785,BUILDING,BUILDING,375317.164N,0302420.010E,2990.86,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_786,BUILDING,BUILDING,375315.136N,0302420.027E,2982.04,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_787,BUILDING,BUILDING,375318.317N,0302419.803E,3014.74,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_788,BUILDING,BUILDING,375319.490N,0302421.187E,3022.21,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_789,BUILDING,BUILDING,375316.687N,0302423.130E,3013.32,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_790,BUILDING,BUILDING,375314.908N,0302423.237E,2995.33,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_791,BUILDING,BUILDING,375314.272N,0302422.721E,2992.42,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_792,BUILDING,BUILDING,375313.563N,0302422.170E,2988.70,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_793,BUILDING,BUILDING,375313.825N,0302425.930E,2983.58,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_794,BUILDING,BUILDING,375315.881N,0302428.743E,3002.44,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_795,BUILDING,BUILDING,375315.403N,0302428.378E,3000.45,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_796,BUILDING,BUILDING,375311.062N,0302421.625E,3006.30,54.13,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_797,BUILDING,BUILDING,375312.748N,0302435.475E,2981.18,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_798,BUILDING,BUILDING,375312.732N,0302436.260E,2978.99,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_799,BUILDING,BUILDING,375310.325N,0302442.322E,2980.31,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_800,BUILDING,BUILDING,375309.500N,0302446.240E,2988.81,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_801,BUILDING,BUILDING,375308.813N,0302446.299E,2986.13,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_802,BUILDING,BUILDING,375308.186N,0302446.105E,2982.37,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_803,BUILDING,BUILDING,375309.606N,0302444.722E,2985.30,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_804,BUILDING,BUILDING,375308.858N,0302453.083E,2990.16,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_805,BUILDING,BUILDING,375307.590N,0302452.706E,2983.09,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_806,BUILDING,BUILDING,375305.691N,0302449.867E,2979.26,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_807,BUILDING,BUILDING,375305.951N,0302450.492E,2991.66,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_808,BUILDING,BUILDING,375303.377N,0302446.095E,2983.61,44.29,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_809,BUILDING,BUILDING,375250.370N,0302517.189E,2980.76,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_810,BUILDING,BUILDING,375248.334N,0302517.764E,2984.00,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_811,BUILDING,BUILDING,375248.223N,0302517.032E,2982.32,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_812,BUILDING,BUILDING,375248.562N,0302518.303E,2986.79,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_813,BUILDING,BUILDING,375247.529N,0302518.469E,2982.28,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_814,BUILDING,BUILDING,375302.485N,0302510.311E,2993.53,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_815,BUILDING,BUILDING,375302.668N,0302509.234E,2989.99,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_816,BUILDING,BUILDING,375302.226N,0302510.275E,2993.06,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_817,BUILDING,BUILDING,375350.344N,0302241.330E,3036.92,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_818,BUILDING,BUILDING,375354.521N,0302236.143E,3041.29,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_819,BUILDING,BUILDING,375407.901N,0302308.209E,3113.52,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_820,BUILDING,BUILDING,375358.376N,0302304.687E,3083.66,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_821,BUILDING,BUILDING,375400.945N,0302309.032E,3097.92,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_822,SILO,BUILDING,375349.256N,0302325.608E,3109.51,73.82,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_823,SILO,BUILDING,375349.391N,0302325.598E,3110.44,73.82,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_824,SILO,BUILDING,375349.242N,0302325.369E,3109.42,73.82,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_825,SILO,BUILDING,375349.370N,0302325.343E,3110.48,73.82,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_826,BUILDING,BUILDING,375403.885N,0302311.383E,3109.37,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_827,BUILDING,BUILDING,375404.379N,0302311.704E,3140.75,63.98,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_828,BUILDING,BUILDING,375404.060N,0302310.963E,3138.76,63.98,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_829,BUILDING,BUILDING,375351.756N,0302355.701E,3111.58,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_830,BUILDING,BUILDING,375334.647N,0302419.564E,3053.39,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_831,BUILDING,BUILDING,375340.478N,0302409.091E,3066.94,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_832,MINARET,BUILDING,375340.340N,0302410.174E,3067.93,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_833,BUILDING,BUILDING,375343.541N,0302416.869E,3085.14,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_834,BUILDING,BUILDING,375346.279N,0302417.040E,3097.56,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_835,SILO,BUILDING,375328.475N,0302450.070E,3065.76,36.09,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_836,BUILDING,BUILDING,375348.672N,0302438.520E,3116.97,26.25,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_837,MINARET,BUILDING,375348.866N,0302438.172E,3156.98,63.98,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_838,BUILDING,BUILDING,375358.189N,0302444.323E,3158.71,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_839,BUILDING,BUILDING,375352.307N,0302442.028E,3151.21,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_840,BUILDING,BUILDING,375352.961N,0302443.083E,3151.21,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_841,BUILDING,BUILDING,375347.222N,0302511.379E,3138.31,34.45,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_842,HIGH VOLTAGE MAST,POLE,375234.594N,0302546.245E,3157.87,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_843,HIGH VOLTAGE MAST,POLE,375236.998N,0302533.713E,3083.95,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_844,HIGH VOLTAGE MAST,POLE,375238.490N,0302523.921E,3045.04,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_845,HIGH VOLTAGE MAST,POLE,375235.658N,0302540.294E,3110.82,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_846,HIGH VOLTAGE MAST,POLE,375349.397N,0302117.446E,3104.94,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_847,HIGH VOLTAGE MAST,POLE,375348.401N,0302108.054E,3103.54,98.42,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_848,SILO,BUILDING,375348.004N,0302339.370E,3084.31,32.81,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_849,WIND SOCK,OTHER,375058.560N,0302124.950E,2850.47,22.30,YES,RED,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_850,WIND SOCK,OTHER,375151.340N,0302242.490E,2856.66,22.30,YES,RED,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
