Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationAtTop(FT),Height(FT),Lighting,ColorOfLighting,Group,,,,,,,,
LTBO211,BUILDING,BUILDING,384112.20N,0292522.88E,3147,34,NO INFO,,NO,,,,,,,,
LTBO212,BUILDING,BUILDING,384111.85N,0292516.48E,3194,34,NO INFO,,NO,,,,,,,,
LTBO213,BUILDING,BUILDING,384112.52N,0292516.81E,3201,34,NO INFO,,NO,,,,,,,,
LTBO214,BUILDING,BUILDING,384113.66N,0292514.72E,3213,34,NO INFO,,NO,,,,,,,,
LTBO215,BUILDING,BUILDING,384114.04N,0292514.99E,3217,34,NO INFO,,NO,,,,,,,,
LTBO216,BUILDING,BUILDING,384113.45N,0292512.48E,3190,34,NO INFO,,NO,,,,,,,,
LTBO217,BUILDING,BUILDING,384113.84N,0292511.14E,3180,34,NO INFO,,NO,,,,,,,,
LTBO218,BUILDING,BUILDING,384113.65N,0292510.40E,3176,34,NO INFO,,NO,,,,,,,,
LTBO219,BUILDING,BUILDING,384114.22N,0292510.55E,3179,34,NO INFO,,NO,,,,,,,,
LTBO220,BUILDING,BUILDING,384114.20N,0292513.57E,3204,34,NO INFO,,NO,,,,,,,,
LTBO221,BUILDING,BUILDING,384112.81N,0292508.75E,3163,34,NO INFO,,NO,,,,,,,,
LTBO222,BUILDING,BUILDING,384109.66N,0292510.36E,3150,34,NO INFO,,NO,,,,,,,,
LTBO223,BUILDING,BUILDING,384109.58N,0292502.88E,3086,34,NO INFO,,NO,,,,,,,,
LTBO224,BUILDING,BUILDING,384109.27N,0292503.54E,3097,44,NO INFO,,NO,,,,,,,,
LTBO225,BUILDING,BUILDING,384109.39N,0292500.54E,3101,44,NO INFO,,NO,,,,,,,,
LTBO226,BUILDING,BUILDING,384108.26N,0292504.45E,3095,34,NO INFO,,NO,,,,,,,,
LTBO227,BUILDING,BUILDING,384107.53N,0292506.34E,3118,34,NO INFO,,NO,,,,,,,,
LTBO228,BUILDING,BUILDING,384106.44N,0292502.01E,3086,34,NO INFO,,NO,,,,,,,,
LTBO229,BUILDING,BUILDING,384104.86N,0292458.81E,3088,34,NO INFO,,NO,,,,,,,,
LTBO230,BUILDING,BUILDING,384104.37N,0292500.17E,3086,34,NO INFO,,NO,,,,,,,,
LTBO231,BUILDING,BUILDING,384101.88N,0292458.25E,3086,34,NO INFO,,NO,,,,,,,,
LTBO232,BUILDING,BUILDING,384101.34N,0292458.02E,3085,34,NO INFO,,NO,,,,,,,,
LTBO233,BUILDING,BUILDING,384059.72N,0292500.32E,3067,25,NO INFO,,NO,,,,,,,,
LTBO234,BUILDING,BUILDING,384059.73N,0292500.78E,3068,25,NO INFO,,NO,,,,,,,,
LTBO235,BUILDING,BUILDING,384104.18N,0292505.30E,3123,44,NO INFO,,NO,,,,,,,,
LTBO236,BUILDING,BUILDING,384118.19N,0292508.46E,3174,34,NO INFO,,NO,,,,,,,,
LTBO237,BUILDING,BUILDING,384118.53N,0292515.67E,3217,34,NO INFO,,NO,,,,,,,,
LTBO238,BUILDING,BUILDING,384119.83N,0292518.04E,3227,34,NO INFO,,NO,,,,,,,,
LTBO239,BUILDING,BUILDING,384125.28N,0292505.58E,3151,34,NO INFO,,NO,,,,,,,,
LTBO240,BUILDING,BUILDING,384126.01N,0292459.37E,3220,34,NO INFO,,NO,,,,,,,,
LTBO241,BUILDING,BUILDING,384116.33N,0292459.48E,3132,34,NO INFO,,NO,,,,,,,,
LTBO242,BUILDING,BUILDING,384115.95N,0292500.95E,3118,34,NO INFO,,NO,,,,,,,,
LTBO243,BUILDING,BUILDING,384115.54N,0292501.28E,3118,34,NO INFO,,NO,,,,,,,,
LTBO244,BUILDING,BUILDING,384114.92N,0292459.04E,3132,34,NO INFO,,NO,,,,,,,,
LTBO245,BUILDING,BUILDING,384114.48N,0292500.99E,3122,44,NO INFO,,NO,,,,,,,,
LTBO246,BUILDING,BUILDING,384114.38N,0292501.31E,3121,44,NO INFO,,NO,,,,,,,,
LTBO247,BUILDING,BUILDING,384112.70N,0292500.53E,3113,44,NO INFO,,NO,,,,,,,,
LTBO248,BUILDING,BUILDING,384113.10N,0292459.76E,3111,34,NO INFO,,NO,,,,,,,,
LTBO249,BUILDING,BUILDING,384112.27N,0292459.81E,3104,34,NO INFO,,NO,,,,,,,,
LTBO250,BUILDING,BUILDING,384111.77N,0292500.18E,3100,34,NO INFO,,NO,,,,,,,,
