Obstacle_designator,AIXM_NAME  ,OTHER Type(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,color of lighting,Group
ENR219,WIND POWER PLANT,WINDMILL,395346.36N,0261024.28E,472,407,YES,OTHER,NO
ENR221,WIND POWER PLANT,WINDMILL,395841.28N,0262557.01E,1918,580,YES,OTHER,NO
ENR222,WIND POWER PLANT,WINDMILL,410947.88N,0281724.72E,1076,427,YES,OTHER,NO
ENR223,WIND POWER PLANT,WINDMILL,400110.50N,0262219.12E,1419,438,YES,OTHER,NO
ENR224,WIND POWER PLANT,WINDMILL,395256.21N,0261126.52E,617,407,YES,OTHER,NO
ENR226,WIND POWER PLANT,WINDMILL,395838.75N,0262617.14E,1843,580,YES,OTHER,NO
ENR227,WIND POWER PLANT,WINDMILL,410941.96N,0281732.45E,1050,427,YES,OTHER,NO
ENR228,WIND POWER PLANT,WINDMILL,400039.73N,0262232.18E,1370,438,YES,OTHER,NO
ENR229,WIND POWER PLANT,WINDMILL,395252.86N,0261049.44E,604,407,YES,OTHER,NO
ENR230,WIND POWER PLANT,WINDMILL,400633.95N,0264731.27E,2751,438,YES,OTHER,NO
ENR231,WIND POWER PLANT,WINDMILL,395837.76N,0262648.22E,1925,580,YES,OTHER,NO
ENR232,WIND POWER PLANT,WINDMILL,410912.12N,0281729.59E,1017,427,YES,OTHER,NO
ENR233,WIND POWER PLANT,WINDMILL,400035.22N,0262208.60E,1366,438,YES,OTHER,NO
ENR234,WIND POWER PLANT,WINDMILL,393107.97N,0270938.66E,2290,407,YES,OTHER,NO
ENR236,WIND POWER PLANT,WINDMILL,395825.04N,0262653.30E,1925,580,YES,OTHER,NO
ENR237,WIND POWER PLANT,WINDMILL,411012.79N,0281610.24E,1114,490,YES,OTHER,NO
ENR238,WIND MEASUREMENT STATION,POLE,393550.18N,0260800.66E,587,459,NO INFO,,NO
ENR239,WIND POWER PLANT,WINDMILL,365738.82N,0332638.89E,5971,617,YES,OTHER,NO
ENR240,WIND POWER PLANT,WINDMILL,365745.63N,0332555.07E,5853,617,YES,OTHER,NO
ENR241,WIND POWER PLANT,WINDMILL,400026.62N,0262150.71E,1291,438,YES,OTHER,NO
ENR242,WIND POWER PLANT,WINDMILL,373245.92N,0362749.64E,4016,489,YES,OTHER,NO
ENR244,WIND POWER PLANT,WINDMILL,410911.75N,0281808.67E,1056,427,YES,OTHER,NO
ENR245,WIND POWER PLANT,WINDMILL,374530.67N,0285100.00E,6327,438,YES,OTHER,NO
ENR246,WIND POWER PLANT,WINDMILL,373242.79N,0362721.38E,3720,489,YES,OTHER,NO
ENR247,WIND POWER PLANT,WINDMILL,362302.43N,0360711.61E,4099,487,YES,OTHER,NO
ENR248,WIND POWER PLANT,WINDMILL,400605.65N,0265408.35E,3046,660,YES,OTHER,NO
ENR249,WIND POWER PLANT,WINDMILL,365821.79N,0332914.29E,5922,617,YES,OTHER,NO
ENR250,WIND POWER PLANT,WINDMILL,400656.92N,0264611.93E,2774,438,YES,OTHER,NO
ENR251,WIND POWER PLANT,WINDMILL,362234.02N,0360712.08E,4465,486,YES,OTHER,NO
ENR252,WIND POWER PLANT,WINDMILL,410902.48N,0281814.02E,1066,427,YES,OTHER,NO
ENR253,WIND POWER PLANT,WINDMILL,374539.53N,0285052.62E,6337,438,YES,OTHER,NO
ENR254,WIND POWER PLANT,WINDMILL,400707.57N,0264842.23E,2597,438,YES,OTHER,NO
ENR255,WIND POWER PLANT,WINDMILL,400534.80N,0265047.33E,2225,660,YES,OTHER,NO
