Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTCU242,BUILDING,BUILDING,385224.702N,0403828.786E,3704.8,14.8,NO,,NO,
LTCU243,BUILDING,BUILDING,385223.889N,0403829.487E,3704.7,14.8,NO,,NO,
LTCU244,BUILDING,BUILDING,385223.826N,0403828.857E,3701.3,14.8,NO,,NO,
LTCU245,BUILDING,BUILDING,385223.981N,0403827.329E,3698.1,14.8,NO,,NO,
LTCU246,BUILDING,BUILDING,385222.673N,0403828.340E,3695.4,14.8,NO,,NO,
LTCU247,BUILDING,BUILDING,385223.365N,0403826.957E,3695.0,14.8,NO,,NO,
LTCU248,BUILDING,BUILDING,385223.131N,0403825.364E,3689.9,14.8,NO,,NO,
LTCU249,BUILDING,BUILDING,385221.863N,0403824.545E,3689.0,14.8,NO,,NO,
LTCU250,BUILDING,BUILDING,385220.255N,0403834.567E,3712.7,14.8,NO,,NO,
LTCU251,BUILDING,BUILDING,385218.908N,0403821.482E,3664.0,14.8,NO,,NO,
LTCU252,BUILDING,BUILDING,385232.650N,0403825.723E,3702.7,14.8,NO,,NO,
LTCU253,BUILDING,BUILDING,385236.803N,0403845.103E,3802.3,14.8,NO,,NO,
LTCU254,BUILDING,BUILDING,385237.386N,0403845.513E,3807.7,14.8,NO,,NO,
LTCU255,BUILDING,BUILDING,385204.881N,0403913.389E,3746.7,14.8,NO,,NO,
LTCU256,BUILDING,BUILDING,385205.155N,0403915.539E,3754.9,14.8,NO,,NO,
LTCU257,BUILDING,BUILDING,385159.918N,0403926.607E,3751.3,14.8,NO,,NO,
LTCU258,BUILDING,BUILDING,385159.084N,0403930.927E,3782.1,14.8,NO,,NO,
LTCU259,BUILDING,BUILDING,385157.285N,0403930.674E,3755.0,14.8,NO,,NO,
LTCU260,BUILDING,BUILDING,385156.084N,0403934.203E,3752.8,14.8,NO,,NO,
LTCU261,BUILDING,BUILDING,385159.269N,0403935.700E,3794.9,14.8,NO,,NO,
LTCU262,BUILDING,BUILDING,385159.289N,0403937.541E,3784.7,14.8,NO,,NO,
LTCU263,BUILDING,BUILDING,385159.123N,0403940.355E,3779.3,14.8,NO,,NO,
LTCU264,BUILDING,BUILDING,385159.027N,0403941.439E,3786.7,14.8,NO,,NO,
LTCU265,BUILDING,BUILDING,385200.183N,0403940.441E,3796.3,14.8,NO,,NO,
LTCU266,BUILDING,BUILDING,385200.077N,0403941.528E,3798.7,14.8,NO,,NO,
LTCU267,BUILDING,BUILDING,385200.076N,0403942.540E,3805.6,14.8,NO,,NO,
