Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,
LTCD222,BUILDING,BUILDING,394508.592N,0393216.586E,4084.3,14.76,NO INFO,,NO,,,,
LTCD223,BUILDING,BUILDING,394507.273N,0393214.273E,4079.1,14.76,NO INFO,,NO,,,,
LTCD224,BUILDING,BUILDING,394509.577N,0393212.709E,4093.8,24.60,NO INFO,,NO,,,,
LTCD225,BUILDING,BUILDING,394507.794N,0393211.442E,4086.0,24.60,NO INFO,,NO,,,,
LTCD226,BUILDING,BUILDING,394510.297N,0393211.336E,4084.8,14.76,NO INFO,,NO,,,,
LTCD227,BUILDING,BUILDING,394509.830N,0393207.855E,4078.2,14.76,NO INFO,,NO,,,,
LTCD228,BUILDING,BUILDING,394511.927N,0393206.340E,4084.1,14.76,NO INFO,,NO,,,,
LTCD229,BUILDING,BUILDING,394509.493N,0393159.596E,4064.0,14.76,NO INFO,,NO,,,,
LTCD230,BUILDING,BUILDING,394509.205N,0393159.124E,4062.7,14.76,NO INFO,,NO,,,,
LTCD231,BUILDING,BUILDING,394508.772N,0393158.494E,4060.2,14.76,NO INFO,,NO,,,,
LTCD232,BUILDING,BUILDING,394509.738N,0393158.768E,4063.1,14.76,NO INFO,,NO,,,,
LTCD233,BUILDING,BUILDING,394447.771N,0393147.988E,4000.2,14.76,NO INFO,,NO,,,,
LTCD234,BUILDING,BUILDING,394446.585N,0393147.041E,3997.0,14.76,NO INFO,,NO,,,,
LTCD235,BUILDING,BUILDING,394446.130N,0393146.750E,3995.4,14.76,NO INFO,,NO,,,,
LTCD236,BUILDING,BUILDING,394447.915N,0393146.601E,4008.7,24.60,NO INFO,,NO,,,,
LTCD237,BUILDING,BUILDING,394509.927N,0393157.281E,4061.8,14.76,NO INFO,,NO,,,,
LTCD238,BUILDING,BUILDING,394510.410N,0393157.269E,4062.8,14.76,NO INFO,,NO,,,,
LTCD239,BUILDING,BUILDING,394446.415N,0393145.496E,4005.3,24.60,NO INFO,,NO,,,,
LTCD240,BUILDING,BUILDING,394437.932N,0393140.917E,3985.8,24.60,NO INFO,,NO,,,,
LTCD241,BUILDING,BUILDING,394445.689N,0393144.663E,4003.6,24.60,NO INFO,,NO,,,,
LTCD242,BUILDING,BUILDING,394438.848N,0393141.320E,3987.3,24.60,NO INFO,,NO,,,,
LTCD243,BUILDING,BUILDING,394510.594N,0393156.801E,4061.7,14.76,NO INFO,,NO,,,,
LTCD244,BUILDING,BUILDING,394437.308N,0393140.534E,3984.7,24.60,NO INFO,,NO,,,,
LTCD245,BUILDING,BUILDING,394435.994N,0393139.729E,3982.2,24.60,NO INFO,,NO,,,,
LTCD246,BUILDING,BUILDING,394449.649N,0393146.318E,4012.0,24.60,NO INFO,,NO,,,,
LTCD247,BUILDING,BUILDING,394444.985N,0393144.038E,4001.6,24.60,NO INFO,,NO,,,,
LTCD248,BUILDING,BUILDING,394500.027N,0393151.219E,4032.1,14.76,NO INFO,,NO,,,,
LTCD249,BUILDING,BUILDING,394459.220N,0393150.613E,4029.8,14.76,NO INFO,,NO,,,,
LTCD250,BUILDING,BUILDING,394500.563N,0393151.223E,4033.6,14.76,NO INFO,,NO,,,,
