Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group,,,,
LTBF_198,BUILDING,BUILDING,393744.349N,0275247.914E,575.02,54.13,NO INFO,,NO,,,,
LTBF_199,BUILDING,BUILDING,393744.315N,0275246.977E,578.16,54.13,NO INFO,,NO,,,,
LTBF_200,BUILDING,BUILDING,393743.826N,0275247.790E,555.15,34.45,NO INFO,,NO,,,,
LTBF_201,BUILDING,BUILDING,393743.812N,0275248.656E,562.48,44.29,NO INFO,,NO,,,,
LTBF_202,BUILDING,BUILDING,393744.417N,0275248.686E,553.46,34.45,NO INFO,,NO,,,,
LTBF_203,BUILDING,BUILDING,393743.753N,0275246.033E,561.98,34.45,NO INFO,,NO,,,,
LTBF_204,BUILDING,BUILDING,393744.496N,0275245.857E,577.32,44.29,NO INFO,,NO,,,,
LTBF_205,BUILDING,BUILDING,393744.446N,0275245.003E,584.34,44.29,NO INFO,,NO,,,,
LTBF_206,BUILDING,BUILDING,393744.172N,0275244.231E,601.21,54.13,NO INFO,,NO,,,,
LTBF_207,BUILDING,BUILDING,393743.648N,0275244.691E,594.39,54.13,NO INFO,,NO,,,,
LTBF_208,BUILDING,BUILDING,393743.699N,0275245.245E,589.16,54.13,NO INFO,,NO,,,,
LTBF_209,BUILDING,BUILDING,393743.480N,0275244.128E,578.05,34.45,NO INFO,,NO,,,,
LTBF_210,BUILDING,BUILDING,393743.280N,0275242.611E,602.40,44.29,NO INFO,,NO,,,,
LTBF_211,BUILDING,BUILDING,393743.885N,0275240.390E,617.13,44.29,NO INFO,,NO,,,,
LTBF_212,BUILDING,BUILDING,393743.326N,0275239.663E,612.41,34.45,NO INFO,,NO,,,,
LTBF_213,BUILDING,BUILDING,393744.165N,0275241.312E,624.97,54.13,NO INFO,,NO,,,,
LTBF_214,BUILDING,BUILDING,393744.544N,0275241.208E,628.15,54.13,NO INFO,,NO,,,,
LTBF_215,BUILDING,BUILDING,393745.282N,0275241.415E,633.94,54.13,NO INFO,,NO,,,,
LTBF_216,BUILDING,BUILDING,393745.683N,0275241.396E,638.11,54.13,NO INFO,,NO,,,,
LTBF_217,BUILDING,BUILDING,393744.947N,0275241.406E,611.39,34.45,NO INFO,,NO,,,,
LTBF_218,BUILDING,BUILDING,393745.161N,0275242.640E,613.66,44.29,NO INFO,,NO,,,,
LTBF_219,BUILDING,BUILDING,393745.983N,0275242.437E,620.81,44.29,NO INFO,,NO,,,,
LTBF_220,BUILDING,BUILDING,393746.390N,0275244.219E,603.62,44.29,NO INFO,,NO,,,,
LTBF_221,BUILDING,BUILDING,393745.347N,0275244.189E,597.92,44.29,NO INFO,,NO,,,,
LTBF_222,BUILDING,BUILDING,393745.906N,0275244.365E,588.90,34.45,NO INFO,,NO,,,,
LTBF_223,BUILDING,BUILDING,393745.673N,0275239.094E,657.02,54.13,NO INFO,,NO,,,,
LTBF_224,BUILDING,BUILDING,393745.736N,0275239.966E,645.09,54.13,NO INFO,,NO,,,,
LTBF_225,BUILDING,BUILDING,393746.407N,0275239.951E,658.41,54.13,NO INFO,,NO,,,,
LTBF_226,BUILDING,BUILDING,393746.416N,0275238.935E,667.40,54.13,NO INFO,,NO,,,,
LTBF_227,BUILDING,BUILDING,393746.290N,0275237.758E,679.57,54.13,NO INFO,,NO,,,,
LTBF_228,BUILDING,BUILDING,393745.671N,0275238.027E,668.67,54.13,NO INFO,,NO,,,,
LTBF_229,BUILDING,BUILDING,393747.309N,0275237.753E,695.62,54.13,NO INFO,,NO,,,,
LTBF_230,BUILDING,BUILDING,393748.080N,0275238.080E,697.91,54.13,NO INFO,,NO,,,,
LTBF_231,BUILDING,BUILDING,393746.288N,0275233.055E,735.63,63.98,NO INFO,,NO,,,,
LTBF_232,BUILDING,BUILDING,393746.259N,0275233.953E,729.16,63.98,NO INFO,,NO,,,,
LTBF_233,BUILDING,BUILDING,393746.231N,0275234.851E,723.57,63.98,NO INFO,,NO,,,,
LTBF_234,BUILDING,BUILDING,393746.182N,0275235.631E,718.64,63.98,NO INFO,,NO,,,,
LTBF_235,BUILDING,BUILDING,393746.147N,0275236.663E,704.04,63.98,NO INFO,,NO,,,,
LTBF_236,BUILDING,BUILDING,393744.261N,0275237.834E,634.84,44.29,NO INFO,,NO,,,,
LTBF_237,BUILDING,BUILDING,393744.958N,0275237.838E,651.99,54.13,NO INFO,,NO,,,,
LTBF_238,BUILDING,BUILDING,393744.571N,0275237.841E,644.79,54.13,NO INFO,,NO,,,,
LTBF_239,BUILDING,BUILDING,393743.078N,0275237.759E,634.84,44.29,NO INFO,,NO,,,,
LTBF_240,BUILDING,BUILDING,393746.588N,0275241.350E,644.28,54.13,NO INFO,,NO,,,,
LTBF_241,BUILDING,BUILDING,393747.551N,0275241.157E,663.69,63.98,NO INFO,,NO,,,,
LTBF_242,BUILDING,BUILDING,393748.326N,0275241.117E,668.48,63.98,NO INFO,,NO,,,,
LTBF_243,BUILDING,BUILDING,393752.235N,0275238.851E,628.81,34.45,NO INFO,,NO,,,,
LTBF_244,BUILDING,BUILDING,393750.559N,0275239.122E,658.51,34.45,NO INFO,,NO,,,,
LTBF_245,BUILDING,BUILDING,393748.735N,0275242.600E,640.18,54.13,NO INFO,,NO,,,,
LTBF_246,BUILDING,BUILDING,393748.420N,0275239.373E,680.20,54.13,NO INFO,,NO,,,,
LTBF_247,BUILDING,BUILDING,393748.681N,0275238.193E,686.62,44.29,NO INFO,,NO,,,,
LTBF_248,BUILDING,BUILDING,393748.913N,0275238.478E,683.63,44.29,NO INFO,,NO,,,,
LTBF_249,BUILDING,BUILDING,393749.593N,0275238.547E,678.44,44.29,NO INFO,,NO,,,,
LTBF_250,BUILDING,BUILDING,393749.219N,0275239.385E,669.12,44.29,NO INFO,,NO,,,,
LTBF_251,BUILDING,BUILDING,393747.259N,0275238.833E,679.94,54.13,NO INFO,,NO,,,,
