Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group
LTFO247,BUILDING,BUILDING,411047.81N,0405306.18E,198.26,123.03,NO INFO,,NO
LTFO248,BUILDING,BUILDING,411048.28N,0405306.63E,180.46,113.19,NO INFO,,NO
LTFO249,BUILDING,BUILDING,411047.82N,0405256.68E,178.74,103.35,NO INFO,,NO
LTFO250,BUILDING,BUILDING,411047.79N,0405257.87E,186.08,113.19,NO INFO,,NO
LTFO251,BUILDING,BUILDING,411047.76N,0405257.30E,189.87,113.19,NO INFO,,NO
LTFO252,BUILDING,BUILDING,411047.75N,0405258.74E,169.02,103.35,NO INFO,,NO
LTFO253,BUILDING,BUILDING,411047.46N,0405300.68E,188.12,123.03,NO INFO,,NO
LTFO254,BUILDING,BUILDING,411047.40N,0405301.20E,189.28,123.03,NO INFO,,NO
LTFO255,BUILDING,BUILDING,411047.33N,0405259.94E,174.23,103.35,NO INFO,,NO
LTFO256,BUILDING,BUILDING,411045.79N,0405259.70E,203.56,73.82,NO INFO,,NO
LTFO257,BUILDING,BUILDING,411047.09N,0405303.25E,175.45,93.50,NO INFO,,NO
LTFO258,BUILDING,BUILDING,411046.68N,0405301.69E,184.99,93.50,NO INFO,,NO
LTFO259,BUILDING,BUILDING,411046.95N,0405302.64E,169.75,83.66,NO INFO,,NO
LTFO260,BUILDING,BUILDING,411046.82N,0405302.18E,172.45,83.66,NO INFO,,NO
LTFO261,BUILDING,BUILDING,411045.48N,0405307.80E,164.06,83.66,NO INFO,,NO
LTFO262,BUILDING,BUILDING,411045.01N,0405301.60E,185.12,34.45,NO INFO,,NO
LTFO263,BUILDING,BUILDING,411043.89N,0405302.12E,227.47,73.82,NO INFO,,NO
LTFO264,BUILDING,BUILDING,411044.00N,0405302.40E,214.47,63.98,NO INFO,,NO
LTFO265,BUILDING,BUILDING,411043.03N,0405257.72E,204.23,24.61,NO INFO,,NO
LTFO266,BUILDING,BUILDING,411043.81N,0405257.30E,191.76,24.61,NO INFO,,NO
LTFO267,BUILDING,BUILDING,411043.60N,0405256.90E,189.94,24.61,NO INFO,,NO
LTFO268,BUILDING,BUILDING,411043.73N,0405256.22E,190.48,34.45,NO INFO,,NO
LTFO269,BUILDING,BUILDING,411044.42N,0405258.42E,200.49,34.45,NO INFO,,NO
LTFO270,BUILDING,BUILDING,411044.35N,0405259.02E,203.00,34.45,NO INFO,,NO
LTFO271,BUILDING,BUILDING,411045.21N,0405256.93E,223.80,83.66,NO INFO,,NO
LTFO272,BUILDING,BUILDING,411045.26N,0405257.90E,245.11,103.35,NO INFO,,NO
LTFO273,BUILDING,BUILDING,411045.33N,0405253.77E,190.47,73.82,NO INFO,,NO
LTFO274,BUILDING,BUILDING,411044.87N,0405254.46E,203.40,73.82,NO INFO,,NO
LTFO275,BUILDING,BUILDING,411046.04N,0405253.53E,176.22,73.82,NO INFO,,NO
LTFO276,BUILDING,BUILDING,411045.49N,0405255.25E,205.10,73.82,NO INFO,,NO
LTFO277,BUILDING,BUILDING,411045.52N,0405252.62E,236.74,132.87,NO INFO,,NO
