Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTFG308,BUILDING,BUILDING,361706.446N,0321938.706E,356.52,34.45,NO INFO,,NO,
LTFG309,BUILDING,BUILDING,361702.851N,0321938.450E,255.70,24.61,NO INFO,,NO,
LTFG310,BUILDING,BUILDING,361703.920N,0321936.166E,239.39,24.61,NO INFO,,NO,
LTFG311,BUILDING,BUILDING,361703.787N,0321933.049E,243.49,14.76,NO INFO,,NO,
LTFG312,BUILDING,BUILDING,361705.320N,0321933.147E,281.81,34.45,NO INFO,,NO,
LTFG313,BUILDING,BUILDING,361712.726N,0321934.549E,329.74,34.45,NO INFO,,NO,
LTFG314,BUILDING,BUILDING,361711.616N,0321929.658E,291.37,34.45,NO INFO,,NO,
LTFG315,BUILDING,BUILDING,361712.016N,0321929.814E,291.02,34.45,NO INFO,,NO,
LTFG316,BUILDING,BUILDING,361713.099N,0321929.963E,292.63,34.45,NO INFO,,NO,
LTFG317,BUILDING,BUILDING,361709.582N,0321927.613E,283.53,34.45,NO INFO,,NO,
LTFG318,BUILDING,BUILDING,361711.006N,0321926.393E,277.29,34.45,NO INFO,,NO,
LTFG319,BUILDING,BUILDING,361711.362N,0321925.667E,271.92,34.45,NO INFO,,NO,
LTFG320,BUILDING,BUILDING,361711.051N,0321925.303E,270.25,34.45,NO INFO,,NO,
LTFG321,MOSQUE,BUILDING,361708.635N,0321928.665E,287.64,34.45,NO INFO,,NO,
LTFG322,BUILDING,BUILDING,361704.346N,0321927.190E,275.20,34.45,NO INFO,,NO,
LTFG323,BUILDING,BUILDING,361704.723N,0321927.807E,276.10,34.45,NO INFO,,NO,
LTFG324,BUILDING,BUILDING,361705.256N,0321928.677E,278.08,34.45,NO INFO,,NO,
LTFG325,BUILDING,BUILDING,361704.910N,0321931.114E,247.56,14.76,NO INFO,,NO,
LTFG326,BUILDING,BUILDING,361704.424N,0321929.528E,245.18,14.76,NO INFO,,NO,
LTFG327,BUILDING,BUILDING,361705.283N,0321924.318E,250.87,24.61,NO INFO,,NO,
LTFG328,BUILDING,BUILDING,361704.721N,0321925.054E,293.65,63.98,NO INFO,,NO,
LTFG329,BUILDING,BUILDING,361704.942N,0321925.514E,297.04,63.98,NO INFO,,NO,
LTFG330,BUILDING,BUILDING,361704.391N,0321925.900E,278.50,44.29,NO INFO,,NO,
LTFG331,BUILDING,BUILDING,361704.079N,0321925.521E,273.96,44.29,NO INFO,,NO,
LTFG332,BUILDING,BUILDING,361703.541N,0321926.019E,247.06,14.76,NO INFO,,NO,
LTFG333,BUILDING,BUILDING,361703.841N,0321926.653E,272.37,34.45,NO INFO,,NO,
LTFG334,BUILDING,BUILDING,361703.074N,0321925.466E,254.28,24.61,NO INFO,,NO,
LTFG335,BUILDING,BUILDING,361702.315N,0321925.600E,254.28,24.61,NO INFO,,NO,
LTFG336,BUILDING,BUILDING,361701.617N,0321925.224E,249.56,24.61,NO INFO,,NO,
LTFG337,BUILDING,BUILDING,361702.730N,0321923.751E,273.96,44.29,NO INFO,,NO,
LTFG338,BUILDING,BUILDING,361702.850N,0321924.530E,273.96,44.29,NO INFO,,NO,
LTFG339,BUILDING,BUILDING,361703.227N,0321922.808E,273.96,44.29,NO INFO,,NO,
LTFG340,BUILDING,BUILDING,361703.553N,0321923.489E,273.96,44.29,NO INFO,,NO,
LTFG341,BUILDING,BUILDING,361704.374N,0321922.894E,250.98,24.61,NO INFO,,NO,
LTFG342,BUILDING,BUILDING,361703.674N,0321922.232E,254.28,24.61,NO INFO,,NO,
LTFG343,BUILDING,BUILDING,361703.623N,0321924.491E,273.96,44.29,NO INFO,,NO,
LTFG344,BUILDING,BUILDING,361703.180N,0321921.361E,251.26,24.61,NO INFO,,NO,
LTFG345,BUILDING,BUILDING,361702.745N,0321921.969E,254.28,24.61,NO INFO,,NO,
LTFG346,BUILDING,BUILDING,361701.275N,0321921.536E,238.89,14.76,NO INFO,,NO,
LTFG347,BUILDING,BUILDING,361702.440N,0321920.333E,243.54,24.61,NO INFO,,NO,
LTFG348,BUILDING,BUILDING,361707.218N,0321925.273E,293.65,63.98,NO INFO,,NO,
LTFG349,BUILDING,BUILDING,361706.346N,0321927.825E,280.53,34.45,NO INFO,,NO,
LTFG350,BUILDING,BUILDING,361708.804N,0321923.963E,254.28,24.61,NO INFO,,NO,
LTFG351,BUILDING,BUILDING,361709.399N,0321922.686E,254.28,24.61,NO INFO,,NO,
LTFG352,BUILDING,BUILDING,361710.776N,0321922.267E,251.16,34.45,NO INFO,,NO,
LTFG353,BUILDING,BUILDING,361710.643N,0321925.050E,259.23,24.61,NO INFO,,NO,
LTFG354,BUILDING,BUILDING,361714.163N,0321928.426E,282.23,34.45,NO INFO,,NO,
LTFG355,BUILDING,BUILDING,361713.918N,0321929.049E,286.41,34.45,NO INFO,,NO,
LTFG356,BUILDING,BUILDING,361713.438N,0321929.122E,284.48,34.45,NO INFO,,NO,
LTFG357,BUILDING,BUILDING,361712.512N,0321926.293E,260.41,24.61,NO INFO,,NO,
LTFG358,BUILDING,BUILDING,361713.691N,0321925.217E,264.12,34.45,NO INFO,,NO,
LTFG359,BUILDING,BUILDING,361714.375N,0321925.561E,270.67,34.45,NO INFO,,NO,
LTFG360,BUILDING,BUILDING,361714.576N,0321926.044E,285.69,44.29,NO INFO,,NO,
LTFG361,BUILDING,BUILDING,361715.087N,0321923.923E,280.53,34.45,NO INFO,,NO,
LTFG362,BUILDING,BUILDING,361709.065N,0321934.358E,392.51,34.45,NO INFO,,NO,
LTFG363,BUILDING,BUILDING,361709.482N,0321921.840E,244.43,14.76,NO INFO,,NO,
