Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTAZ_233,BUILDING,BUILDING,384520.942N,0343056.851E,3238.03,24.61,NO INFO,,NO
LTAZ_234,BUILDING,BUILDING,384520.765N,0343057.769E,3239.80,24.61,NO INFO,,NO
LTAZ_235,BUILDING,BUILDING,384520.940N,0343057.160E,3239.79,24.61,NO INFO,,NO
LTAZ_236,BUILDING,BUILDING,384520.091N,0343057.945E,3250.95,24.61,NO INFO,,NO
LTAZ_237,BUILDING,BUILDING,384519.711N,0343057.954E,3245.51,14.76,NO INFO,,NO
LTAZ_238,BUILDING,BUILDING,384517.955N,0343056.922E,3240.15,24.61,NO INFO,,NO
LTAZ_239,BUILDING,BUILDING,384518.577N,0343056.958E,3239.79,24.61,NO INFO,,NO
LTAZ_240,BUILDING,BUILDING,384520.129N,0343056.882E,3239.50,24.61,NO INFO,,NO
LTAZ_241,BUILDING,BUILDING,384519.307N,0343056.862E,3239.79,24.61,NO INFO,,NO
LTAZ_242,BUILDING,BUILDING,384520.131N,0343055.320E,3233.08,24.61,NO INFO,,NO
LTAZ_243,BUILDING,BUILDING,384519.332N,0343055.268E,3239.11,24.61,NO INFO,,NO
LTAZ_244,BUILDING,BUILDING,384518.615N,0343055.257E,3239.36,24.61,NO INFO,,NO
LTAZ_245,BUILDING,BUILDING,384517.984N,0343055.281E,3237.60,24.61,NO INFO,,NO
LTAZ_246,BUILDING,BUILDING,384517.925N,0343054.144E,3231.74,24.61,NO INFO,,NO
LTAZ_247,BUILDING,BUILDING,384506.140N,0343057.850E,3239.79,24.61,NO INFO,,NO
LTAZ_248,BUILDING,BUILDING,384506.671N,0343057.861E,3240.20,24.61,NO INFO,,NO
LTAZ_249,BUILDING,BUILDING,384507.498N,0343057.848E,3241.93,24.61,NO INFO,,NO
LTAZ_250,BUILDING,BUILDING,384507.022N,0343056.669E,3239.79,24.61,NO INFO,,NO
LTAZ_251,BUILDING,BUILDING,384507.063N,0343055.073E,3231.64,24.61,NO INFO,,NO
LTAZ_252,BUILDING,BUILDING,384507.874N,0343056.668E,3239.42,24.61,NO INFO,,NO
LTAZ_253,BUILDING,BUILDING,384508.712N,0343056.681E,3236.73,24.61,NO INFO,,NO
LTAZ_254,BUILDING,BUILDING,384509.494N,0343056.672E,3234.09,24.61,NO INFO,,NO
LTAZ_255,BUILDING,BUILDING,384508.936N,0343057.846E,3245.82,24.61,NO INFO,,NO
