Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTCN268,BUILDING,BUILDING,373444.45N,0365637.80E,1994.65,14.76,NO INFO,,NO
LTCN269,BUILDING,BUILDING,373450.48N,0365633.21E,2035.74,34.45,NO INFO,,NO
LTCN270,BUILDING,BUILDING,373448.97N,0365635.22E,2022.90,24.61,NO INFO,,NO
LTCN271,BUILDING,BUILDING,373445.92N,0365631.36E,1999.94,24.61,NO INFO,,NO
LTCN272,BUILDING,BUILDING,373442.25N,0365638.35E,1984.27,14.76,NO INFO,,NO
LTCN273,BUILDING,BUILDING,373424.66N,0365639.37E,1895.00,14.76,NO INFO,,NO
LTCN274,BUILDING,BUILDING,373428.16N,0365644.41E,1919.89,14.76,NO INFO,,NO
LTCN275,BUILDING,BUILDING,373440.89N,0365645.17E,1985.86,14.76,NO INFO,,NO
LTCN276,BUILDING,BUILDING,373441.51N,0365643.85E,1997.41,24.61,NO INFO,,NO
LTCN277,BUILDING,BUILDING,373441.47N,0365638.65E,1981.22,14.76,NO INFO,,NO
LTCN278,BUILDING,BUILDING,373447.61N,0365635.97E,2007.01,14.76,NO INFO,,NO
LTCN279,BUILDING,BUILDING,373451.14N,0365642.72E,2035.51,14.76,NO INFO,,NO
LTCN280,BUILDING,BUILDING,373440.90N,0365652.98E,1983.38,24.61,NO INFO,,NO
LTCN281,BUILDING,BUILDING,373452.60N,0365655.19E,2028.32,14.76,NO INFO,,NO
LTCN282,BUILDING,BUILDING,373523.92N,0365704.76E,2301.41,24.61,NO INFO,,NO
LTCN283,BUILDING,BUILDING,373434.10N,0365712.94E,1911.03,24.61,NO INFO,,NO
LTCN284,BUILDING,BUILDING,373512.19N,0365715.68E,2261.55,24.61,NO INFO,,NO
LTCN285,BUILDING,BUILDING,373529.75N,0365710.95E,2362.94,24.61,NO INFO,,NO
LTCN286,BUILDING,BUILDING,373527.14N,0365720.71E,2460.44,14.76,NO INFO,,NO
