Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTBJ102,BUILDING,BUILDING,381821.052N,0270822.237E,555.40,82.93,NO INFO,,NO
LTBJ103,BUILDING,BUILDING,381820.952N,0270821.696E,555.40,81.64,NO INFO,,NO
LTBJ104,BUILDING,BUILDING,381821.399N,0270824.029E,555.40,86.30,NO INFO,,NO
LTBJ105,BUILDING,BUILDING,381821.309N,0270823.409E,555.40,84.51,NO INFO,,NO
LTBJ106,BUILDING,BUILDING,381821.356N,0270823.652E,555.40,85.09,NO INFO,,NO
LTBJ107,BUILDING,BUILDING,381802.440N,0270745.657E,627.15,9.84,NO INFO,,NO
LTBJ108,BUILDING,BUILDING,381804.205N,0270755.232E,581.83,10.50,NO INFO,,NO
LTBJ109,BUILDING,BUILDING,381804.907N,0270759.049E,549.80,10.50,NO INFO,,NO
LTBJ110,BUILDING,BUILDING,381821.652N,0270824.509E,555.40,86.92,NO INFO,,NO
LTBJ111,BUILDING,BUILDING,381820.396N,0270817.589E,566.25,48.78,NO INFO,,NO
LTBJ112,BUILDING,BUILDING,381804.377N,0270757.457E,568.66,10.92,NO INFO,,NO
LTBJ113,BUILDING,BUILDING,381818.760N,0270807.720E,573.93,43.06,NO INFO,,NO
LTBJ114,BUILDING,BUILDING,381802.625N,0270748.710E,619.76,9.84,NO INFO,,NO
LTBJ115,BUILDING,BUILDING,381804.444N,0270758.526E,558.23,13.66,NO INFO,,NO
LTBJ116,BUILDING,BUILDING,381821.426N,0270821.588E,555.40,81.56,NO INFO,,NO
LTBJ117,BUILDING,BUILDING,381822.045N,0270824.370E,555.40,86.51,NO INFO,,NO
LTBJ118,BUILDING,BUILDING,381804.442N,0270759.199E,546.92,10.62,NO INFO,,NO
LTBJ119,BUILDING,BUILDING,381818.839N,0270807.067E,575.32,41.09,NO INFO,,NO
LTBJ120,BUILDING,BUILDING,381820.469N,0270815.575E,551.09,44.39,NO INFO,,NO
LTBJ121,BUILDING,BUILDING,381803.719N,0270755.757E,570.25,10.50,NO INFO,,NO
LTBJ122,BUILDING,BUILDING,381821.023N,0270818.249E,567.30,44.18,NO INFO,,NO
LTBJ123,BUILDING,BUILDING,381804.018N,0270757.741E,560.53,10.50,NO INFO,,NO
LTBJ124,BUILDING,BUILDING,381756.313N,0270605.787E,1039.59,9.84,NO INFO,,NO
LTBJ125,BUILDING,BUILDING,381822.379N,0270824.255E,547.64,78.68,NO INFO,,NO
LTBJ126,BUILDING,BUILDING,381819.257N,0270807.552E,573.18,40.68,NO INFO,,NO
LTBJ127,BUILDING,BUILDING,381820.340N,0270813.280E,562.07,45.58,NO INFO,,NO
LTBJ128,BUILDING,BUILDING,381819.188N,0270806.896E,574.17,33.75,NO INFO,,NO
LTBJ129,BUILDING,BUILDING,381821.919N,0270821.413E,555.40,81.11,NO INFO,,NO
LTBJ130,BUILDING,BUILDING,381819.137N,0270806.399E,582.86,39.46,NO INFO,,NO
LTBJ131,BUILDING,BUILDING,381822.314N,0270823.365E,542.35,71.40,NO INFO,,NO
LTBJ132,BUILDING,BUILDING,381822.189N,0270822.648E,544.96,72.93,NO INFO,,NO
LTBJ133,BUILDING,BUILDING,381822.019N,0270821.638E,555.40,81.56,NO INFO,,NO
LTBJ134,BUILDING,BUILDING,381822.076N,0270821.901E,543.87,70.48,NO INFO,,NO
LTBJ135,BUILDING,BUILDING,381803.343N,0270756.427E,560.82,10.50,NO INFO,,NO
LTBJ136,BUILDING,BUILDING,381820.895N,0270814.942E,558.83,43.72,NO INFO,,NO
LTBJ137,BUILDING,BUILDING,381803.638N,0270758.327E,549.09,10.36,NO INFO,,NO
LTBJ138,BUILDING,BUILDING,381803.534N,0270757.880E,550.20,10.50,NO INFO,,NO
LTBJ139,BUILDING,BUILDING,381820.618N,0270812.913E,562.07,43.91,NO INFO,,NO
LTBJ140,BUILDING,BUILDING,381800.614N,0270742.539E,582.23,9.84,NO INFO,,NO
LTBJ141,BUILDING,BUILDING,381802.480N,0270752.802E,591.34,10.17,NO INFO,,NO
LTBJ142,BUILDING,BUILDING,381802.068N,0270751.110E,607.42,17.61,NO INFO,,NO
LTBJ143,BUILDING,BUILDING,381802.326N,0270752.685E,592.84,10.50,NO INFO,,NO
